	Ductal	Ngn3 low EP	Ngn3 high EP	Pre-endocrine	Beta	Alpha	Delta	Epsilon
82	Adk	Akr1c19	Grasp	Rundc1	Slc35b1	Pcdh15	Gch1	Skap1
83	Cry2	Snrk	Myt1	Slc7a14	Pdzrn4	Smarca1	Tspan5	Unc5c
84	Mboat1	Map4k4	Sh3kbp1	Gm2115	Rcan2	Scn3a	Mapt	Dnah9
85	Vtcn1	Zfhx3	Spock2	Dact2	Ubl3	Fkbp5	Kcnmb2	Dtd1
86	Lamb1	Kif21a	Fhod3	Kcnk16	Mdm1	Igsf21	Upb1	Igfbp5
87	Enpp2	Col18a1	Npdc1	Sun2	Rgs7	A1cf	Prim1	Meis2
88	Idh2	Numbl	Igfbpl1	Ahi1	Cytip	Dock11	Tnr	Kifc3
89	Col18a1	Tmem53	Rapgef4	Riok3	Pdia4	Gria2	Rgs7	Map1b
90	Cmtm8	Clmn	Tmem200a	Tmem27	Emb	Pcsk2	Tshz3	Gfpt1
91	Nrp1	Gstt2	Ctsf	Glud1	Pappa2	Ush1c	Phactr1	Tnik
92	Dcdc2a	Igf2	Dll3	Rab27a	St18	Unc5c	Myt1l	Khdrbs3
93	Hmga2	Bora	Scin	Rfx3	Ankrd12	Epha3	Fam107b	Lmnb1
94	Cdyl2	Tpcn1	Tcp11	Slc16a12	Tmcc3	Prkar1b	Tpm4	Rimbp2
95	E2f1	Tcf7l2	Grin2c	Atp2a3	Papss2	Fhod3	Poc1a	Celf4
96	Top2a	Abcb10	Spint1	Myt1	Sez6l2	Tmem65	Orai2	Gck
97	Shcbp1	Tmsb15l	Ndc1	Galr1	Blnk	Slc7a2	Frzb	Rab3c
98	Gm28172	Sv2c	Rfx3	Scgn	Wipi1	Ppp1r14c	Celf3	Smarca1
99	Itpr1	Cdh1	Maml3	Cpm	Dek	Slc25a12	Tmem184c	March4
